model,runtime,group_index,group_key,group_label,group_type,mean_ms,power_gpu_mw,power_total_mw,ops
shufflenetv2,onnxrt_cpu,47,stage3/stage3.6,47. stage3/stage3.6 [eltwise-concat/split-shape-Shape],eltwise-concat/split-shape-Shape,1.2220999999999997,0.0,0.0,30
shufflenetv2,onnxrt_cpu,48,stage3/stage3.6/branch2/branch2.0,48. stage3/stage3.6/branch2/branch2.0 [conv],conv,0.6997,0.0,0.0,2
shufflenetv2,onnxrt_cpu,49,stage3/stage3.6/branch2/branch2.3,49. stage3/stage3.6/branch2/branch2.3 [conv],conv,0.7681,0.0,0.0,1
shufflenetv2,onnxrt_cpu,50,stage3/stage3.6/branch2/branch2.5,50. stage3/stage3.6/branch2/branch2.5 [conv],conv,0.6782,0.0,0.0,1
shufflenetv2,onnxrt_cpu,51,stage3/stage3.7,51. stage3/stage3.7 [eltwise-concat/split-shape-Shape],eltwise-concat/split-shape-Shape,1.2141000000000002,0.0,0.0,32
shufflenetv2,onnxrt_cpu,52,stage3/stage3.7/branch2/branch2.0,52. stage3/stage3.7/branch2/branch2.0 [conv],conv,0.6892,0.0,0.0,2
shufflenetv2,onnxrt_cpu,53,stage3/stage3.7/branch2/branch2.3,53. stage3/stage3.7/branch2/branch2.3 [conv],conv,0.7661,0.0,0.0,1
shufflenetv2,onnxrt_cpu,54,stage3/stage3.7/branch2/branch2.5,54. stage3/stage3.7/branch2/branch2.5 [conv],conv,0.6859,0.0,0.0,1
shufflenetv2,onnxrt_cpu,55,stage4/stage4.0/branch1/branch1.0,55. stage4/stage4.0/branch1/branch1.0 [conv],conv,0.847,0.0,0.0,1
shufflenetv2,onnxrt_cpu,56,stage4/stage4.0/branch1/branch1.2,56. stage4/stage4.0/branch1/branch1.2 [conv],conv,0.8063,0.0,0.0,1
shufflenetv2,onnxrt_cpu,57,stage4/stage4.0/branch2/branch2.0,57. stage4/stage4.0/branch2/branch2.0 [conv],conv,2.6948000000000003,0.0,0.0,2
shufflenetv2,onnxrt_cpu,58,stage4/stage4.0/branch2/branch2.3,58. stage4/stage4.0/branch2/branch2.3 [conv],conv,0.8014,0.0,0.0,1
shufflenetv2,onnxrt_cpu,59,stage4/stage4.0/branch2/branch2.5,59. stage4/stage4.0/branch2/branch2.5 [conv],conv,0.7957,0.0,0.0,2
shufflenetv2,onnxrt_cpu,60,stage4/stage4.0,60. stage4/stage4.0 [concat/split-shape-Shape-Gather],concat/split-shape-Shape-Gather,0.8603000000000001,0.0,0.0,24
shufflenetv2,onnxrt_cpu,61,stage4/stage4.1,61. stage4/stage4.1 [eltwise-concat/split-shape-Shape],eltwise-concat/split-shape-Shape,1.1983000000000001,0.0,0.0,35
shufflenetv2,onnxrt_cpu,62,stage4/stage4.1/branch2/branch2.0,62. stage4/stage4.1/branch2/branch2.0 [conv],conv,0.8174,0.0,0.0,2
shufflenetv2,onnxrt_cpu,63,stage4/stage4.1/branch2/branch2.3,63. stage4/stage4.1/branch2/branch2.3 [conv],conv,0.6912,0.0,0.0,1
shufflenetv2,onnxrt_cpu,64,stage4/stage4.1/branch2/branch2.5,64. stage4/stage4.1/branch2/branch2.5 [conv],conv,0.791,0.0,0.0,2
shufflenetv2,onnxrt_cpu,65,stage4/stage4.2,65. stage4/stage4.2 [eltwise-concat/split-shape-Shape],eltwise-concat/split-shape-Shape,1.1682,0.0,0.0,33
shufflenetv2,onnxrt_cpu,66,stage4/stage4.2/branch2/branch2.0,66. stage4/stage4.2/branch2/branch2.0 [conv],conv,0.813,0.0,0.0,2
shufflenetv2,onnxrt_cpu,67,stage4/stage4.2/branch2/branch2.3,67. stage4/stage4.2/branch2/branch2.3 [conv],conv,0.7485,0.0,0.0,1
shufflenetv2,onnxrt_cpu,68,stage4/stage4.2/branch2/branch2.5,68. stage4/stage4.2/branch2/branch2.5 [conv],conv,0.7894,0.0,0.0,2
shufflenetv2,onnxrt_cpu,69,stage4/stage4.3,69. stage4/stage4.3 [eltwise-concat/split-shape-Shape],eltwise-concat/split-shape-Shape,1.1949,0.0,0.0,32
shufflenetv2,onnxrt_cpu,70,stage4/stage4.3/branch2/branch2.0,70. stage4/stage4.3/branch2/branch2.0 [conv],conv,0.8074,0.0,0.0,2
shufflenetv2,onnxrt_cpu,71,stage4/stage4.3/branch2/branch2.3,71. stage4/stage4.3/branch2/branch2.3 [conv],conv,0.6804,0.0,0.0,1
shufflenetv2,onnxrt_cpu,72,stage4/stage4.3/branch2/branch2.5,72. stage4/stage4.3/branch2/branch2.5 [conv],conv,0.795,0.0,0.0,1
shufflenetv2,onnxrt_cpu,73,conv5/conv5.0,73. conv5/conv5.0 [conv],conv,6.0899,0.0,0.0,2
shufflenetv2,onnxrt_cpu,74,ReduceMean,74. ReduceMean [pool],pool,0.19319999999999998,0.0,0.0,2
shufflenetv2,onnxrt_cpu,75,fc,75. fc [fc],fc,1.1776,0.0,0.0,2
shufflenetv2,pytorch_cpu,1,conv1,01. conv1 [conv-norm-act],conv-norm-act,11.421475,0.0,0.0,3
shufflenetv2,pytorch_cpu,2,maxpool,02. maxpool [pool],pool,8.509511,0.0,0.0,1
shufflenetv2,pytorch_cpu,3,stage2.0.branch1,03. stage2.0.branch1 [conv-norm-act],conv-norm-act,9.839782000000001,0.0,0.0,5
shufflenetv2,pytorch_cpu,4,stage2.0.branch2,04. stage2.0.branch2 [conv-norm-act],conv-norm-act,20.893161,0.0,0.0,8
shufflenetv2,pytorch_cpu,5,stage2.1.branch2,05. stage2.1.branch2 [conv-norm-act],conv-norm-act,12.93285,0.0,0.0,8
shufflenetv2,pytorch_cpu,6,stage2.2.branch2,06. stage2.2.branch2 [conv-norm-act],conv-norm-act,12.848912,0.0,0.0,8
shufflenetv2,pytorch_cpu,7,stage2.3.branch2,07. stage2.3.branch2 [conv-norm-act],conv-norm-act,13.041643,0.0,0.0,8
shufflenetv2,pytorch_cpu,8,stage3.0.branch1,08. stage3.0.branch1 [conv-norm-act],conv-norm-act,18.355966000000002,0.0,0.0,5
shufflenetv2,pytorch_cpu,9,stage3.0.branch2,09. stage3.0.branch2 [conv-norm-act],conv-norm-act,22.185825,0.0,0.0,8
shufflenetv2,pytorch_cpu,10,stage3.1.branch2,10. stage3.1.branch2 [conv-norm-act],conv-norm-act,16.999930000000003,0.0,0.0,8
shufflenetv2,pytorch_cpu,11,stage3.2.branch2,11. stage3.2.branch2 [conv-norm-act],conv-norm-act,17.129389,0.0,0.0,8
shufflenetv2,pytorch_cpu,12,stage3.3.branch2,12. stage3.3.branch2 [conv-norm-act],conv-norm-act,17.18112,0.0,0.0,8
shufflenetv2,pytorch_cpu,13,stage3.4.branch2,13. stage3.4.branch2 [conv-norm-act],conv-norm-act,17.73117,0.0,0.0,8
shufflenetv2,pytorch_cpu,14,stage3.5.branch2,14. stage3.5.branch2 [conv-norm-act],conv-norm-act,17.692117,0.0,0.0,8
shufflenetv2,pytorch_cpu,15,stage3.6.branch2,15. stage3.6.branch2 [conv-norm-act],conv-norm-act,17.812041,0.0,0.0,8
shufflenetv2,pytorch_cpu,16,stage3.7.branch2,16. stage3.7.branch2 [conv-norm-act],conv-norm-act,18.049433,0.0,0.0,8
shufflenetv2,pytorch_cpu,17,stage4.0.branch1,17. stage4.0.branch1 [conv-norm-act],conv-norm-act,28.694623000000004,0.0,0.0,5
shufflenetv2,pytorch_cpu,18,stage4.0.branch2,18. stage4.0.branch2 [conv-norm-act],conv-norm-act,33.175271,0.0,0.0,8
shufflenetv2,pytorch_cpu,19,stage4.1.branch2,19. stage4.1.branch2 [conv-norm-act],conv-norm-act,29.107804,0.0,0.0,8
shufflenetv2,pytorch_cpu,20,stage4.2.branch2,20. stage4.2.branch2 [conv-norm-act],conv-norm-act,28.732534,0.0,0.0,8
shufflenetv2,pytorch_cpu,21,stage4.3.branch2,21. stage4.3.branch2 [conv-norm-act],conv-norm-act,28.882893999999997,0.0,0.0,8
shufflenetv2,pytorch_cpu,22,conv5,22. conv5 [conv-norm-act],conv-norm-act,11.112662,0.0,0.0,3
shufflenetv2,pytorch_cpu,23,fc,23. fc [fc],fc,8.35895,0.0,0.0,1
shufflenetv2,pytorch_cuda,1,conv1,01. conv1 [conv-norm-act],conv-norm-act,1.864621,0.0,0.0,3
shufflenetv2,pytorch_cuda,2,maxpool,02. maxpool [pool],pool,0.707286,0.0,0.0,1
shufflenetv2,pytorch_cuda,3,stage2.0.branch1,03. stage2.0.branch1 [conv-norm-act],conv-norm-act,1.9015900000000001,0.0,0.0,5
shufflenetv2,pytorch_cuda,4,stage2.0.branch2,04. stage2.0.branch2 [conv-norm-act],conv-norm-act,3.2682599999999997,0.0,0.0,8
shufflenetv2,pytorch_cuda,5,stage2.1.branch2,05. stage2.1.branch2 [conv-norm-act],conv-norm-act,3.088323,0.0,0.0,8
shufflenetv2,pytorch_cuda,6,stage2.2.branch2,06. stage2.2.branch2 [conv-norm-act],conv-norm-act,3.054861,0.0,0.0,8
shufflenetv2,pytorch_cuda,7,stage2.3.branch2,07. stage2.3.branch2 [conv-norm-act],conv-norm-act,3.045064,0.0,0.0,8
