co2_per_inference_mg,energy_per_inference_mj,error,final_class,mean_ms,memory_mb,model,model_size_mb,num_runs,p50_ms,p95_ms,p99_ms,power_avg_mw,power_max_mw,power_mode,runtime,source_path,status,status_reason,std_ms,total_co2_mg,total_energy_mj
0.007661,60.088389,,measured,15.9613,389.37,shufflenet_v2_x1_0,8.82,200,15.5937,19.2589,20.2103,3764.63,5396.0,MAXN,onnxrt_cuda,results/clean_v2_20260512_131735/latency/MAXN/shufflenet_v2_x1_0_onnxrt_cuda,ok,ok,1.178,1.5323,12017.6778
0.003846,30.163064,,measured,8.8082,979.91,shufflenet_v2_x1_0,8.82,200,8.636,9.1711,11.6134,3424.43,5924.0,MAXN,onnxrt_trt,results/clean_v2_20260512_131735/latency/MAXN/shufflenet_v2_x1_0_onnxrt_trt,ok,ok,0.5497,0.7692,6032.6129
,,file missing,na,,,shufflenet_v2_x1_0,,,,,,,,MAXN,tflite_cpu,results/clean_v2_20260512_131735/latency/MAXN/shufflenet_v2_x1_0_tflite_cpu,na,file_missing,,,
,,file missing,na,,,shufflenet_v2_x1_0,,,,,,,,MAXN,tflite_gpu,results/clean_v2_20260512_131735/latency/MAXN/shufflenet_v2_x1_0_tflite_gpu,na,file_missing,,,
0.011471,89.969457,,measured,19.0883,4.18,shufflenet_v2_x1_0,8.66,200,17.8498,28.4578,31.2269,4713.33,5291.0,MAXN,ncnn_cpu,results/clean_v2_20260512_131735/latency/MAXN/shufflenet_v2_x1_0_ncnn_cpu,ok,ok,4.6298,2.2942,17993.8914
0.004925,38.630464,,measured,11.1611,2.16,shufflenet_v2_x1_0,8.66,200,11.0351,11.9498,12.2483,3461.17,4848.0,MAXN,ncnn_vulkan,results/clean_v2_20260512_131735/latency/MAXN/shufflenet_v2_x1_0_ncnn_vulkan,ok,ok,0.3534,0.9851,7726.0929
0.716134,5616.737953,,measured,955.8778,124.0,yolov8n,12.42,200,947.3947,1032.972,1046.5792,5876.0,6237.0,MAXN,pytorch_cpu,results/clean_v2_20260512_131735/latency/MAXN/yolov8n_pytorch_cpu.json,ok,ok,36.8274,143.2268,1123347.5906
0.067091,526.205728,,measured,92.6833,640.0,yolov8n,12.42,200,92.6508,93.0348,93.7063,5677.46,8053.0,MAXN,pytorch_cuda,results/clean_v2_20260512_131735/latency/MAXN/yolov8n_pytorch_cuda.json,ok,ok,0.2595,13.4182,105241.1457
0.066314,520.109131,,measured,79.0431,209.0,yolov8n,27.39,200,79.037,79.3457,79.5879,6580.07,7651.0,MAXN,tensorrt_fp32,results/clean_v2_20260512_131735/latency/MAXN/yolov8n_tensorrt_fp32.json,ok,ok,0.1731,13.2628,104021.8262
0.04557,357.409878,,measured,60.4646,201.0,yolov8n,15.83,200,60.4248,60.7042,61.4648,5911.06,6486.0,MAXN,tensorrt_fp16,results/clean_v2_20260512_131735/latency/MAXN/yolov8n_tensorrt_fp16.json,ok,ok,0.2145,9.114,71481.9757
0.065745,515.648048,,measured,78.515,175.0,yolov8n,27.22,200,78.5043,78.7154,79.1206,6567.51,7257.0,MAXN,tensorrt_int8,results/clean_v2_20260512_131735/latency/MAXN/yolov8n_tensorrt_int8.json,ok,ok,0.1526,13.149,103129.6095
0.089836,704.596866,,measured,111.9771,239.0,yolov8n,12.18,200,111.9134,112.625,113.1833,6292.33,7716.0,MAXN,onnxrt_cuda,results/clean_v2_20260512_131735/latency/MAXN/yolov8n_onnxrt_cuda.json,ok,ok,0.4391,17.9672,140919.3731
0.068608,538.100982,,measured,75.614,1.0,yolov8n,12.18,200,75.6053,75.8289,76.1104,7116.42,7532.0,MAXN,onnxrt_trt,results/clean_v2_20260512_131735/latency/MAXN/yolov8n_onnxrt_trt.json,ok,ok,0.1692,13.7216,107620.1964
0.509756,3998.087043,,measured,1141.8995,12.0,yolov8n,12.18,200,1141.8276,1146.0955,1154.5836,3501.26,3963.0,MAXN,tflite_cpu,results/clean_v2_20260512_131735/latency/MAXN/yolov8n_tflite_cpu.json,ok,ok,3.6431,101.9512,799617.4087
0.510389,4003.048411,,measured,1144.7584,14.0,yolov8n,12.18,200,1144.3709,1146.8336,1154.1242,3496.85,4159.0,MAXN,tflite_gpu,results/clean_v2_20260512_131735/latency/MAXN/yolov8n_tflite_gpu.json,ok,ok,1.9813,102.0777,800609.6822
,,file missing,na,,,yolov8n,,,,,,,,MAXN,ncnn_cpu,results/clean_v2_20260512_131735/latency/MAXN/yolov8n_ncnn_cpu,na,file_missing,,,
,,file missing,na,,,yolov8n,,,,,,,,MAXN,ncnn_vulkan,results/clean_v2_20260512_131735/latency/MAXN/yolov8n_ncnn_vulkan,na,file_missing,,,
0.838531,6576.711205,,measured,1300.0973,48.0,ssd_mobilenet_v2,23.5,200,1297.2657,1591.6887,1628.1947,5058.63,5520.0,MAXN,pytorch_cpu,results/clean_v2_20260512_131735/latency/MAXN/ssd_mobilenet_v2_pytorch_cpu.json,ok,ok,215.1482,167.7061,1315342.2409
0.035973,282.142081,,measured,59.1074,467.0,ssd_mobilenet_v2,23.5,200,58.0404,61.358,64.0544,4773.38,7202.0,MAXN,pytorch_cuda,results/clean_v2_20260512_131735/latency/MAXN/ssd_mobilenet_v2_pytorch_cuda.json,ok,ok,1.685,7.1946,56428.4162
0.020683,162.220037,,measured,30.8867,215.0,ssd_mobilenet_v2,24.49,200,30.8496,31.1948,31.4835,5252.1,6200.0,MAXN,tensorrt_fp32,results/clean_v2_20260512_131735/latency/MAXN/ssd_mobilenet_v2_tensorrt_fp32.json,ok,ok,0.1712,4.1366,32444.0074
0.018747,147.035525,,measured,28.2895,238.0,ssd_mobilenet_v2,13.57,200,28.225,28.6169,29.1396,5197.53,6130.0,MAXN,tensorrt_fp16,results/clean_v2_20260512_131735/latency/MAXN/ssd_mobilenet_v2_tensorrt_fp16.json,ok,ok,0.2072,3.7494,29407.105
0.023149,181.563294,,measured,34.093,127.0,ssd_mobilenet_v2,23.67,200,34.0429,34.3783,34.93,5325.53,5940.0,MAXN,tensorrt_int8,results/clean_v2_20260512_131735/latency/MAXN/ssd_mobilenet_v2_tensorrt_int8.json,ok,ok,0.2944,4.6299,36312.6589
0.03878,304.153749,,measured,58.7403,116.0,ssd_mobilenet_v2,23.23,200,58.7386,58.9822,59.2265,5177.94,6319.0,MAXN,onnxrt_cuda,results/clean_v2_20260512_131735/latency/MAXN/ssd_mobilenet_v2_onnxrt_cuda.json,ok,ok,0.1762,7.7559,60830.7498
0.015319,120.151462,,measured,31.5878,940.0,ssd_mobilenet_v2,23.23,200,31.5788,31.6874,31.8487,3803.73,6050.0,MAXN,onnxrt_trt,results/clean_v2_20260512_131735/latency/MAXN/ssd_mobilenet_v2_onnxrt_trt.json,ok,ok,0.1054,3.0639,24030.2925
0.171223,1342.928827,,measured,391.1766,2.0,ssd_mobilenet_v2,23.16,200,391.0142,394.2655,398.3081,3433.05,3692.0,MAXN,tflite_cpu,results/clean_v2_20260512_131735/latency/MAXN/ssd_mobilenet_v2_tflite_cpu.json,ok,ok,1.7165,34.2447,268585.7653
0.177267,1390.33295,,measured,402.4235,2.0,ssd_mobilenet_v2,23.16,200,401.5466,411.7255,417.084,3454.9,4004.0,MAXN,tflite_gpu,results/clean_v2_20260512_131735/latency/MAXN/ssd_mobilenet_v2_tflite_gpu.json,ok,ok,5.1871,35.4535,278066.59
0.070997,556.837061,,measured,102.3622,24.0,ssd_mobilenet_v2,23.12,200,101.01,110.0668,156.4156,5439.87,5710.0,MAXN,ncnn_cpu,results/clean_v2_20260512_131735/latency/MAXN/ssd_mobilenet_v2_ncnn_cpu.json,ok,ok,18.1911,14.1993,111367.4122
0.029636,232.435322,,measured,44.3107,1.0,ssd_mobilenet_v2,23.12,200,43.7994,46.343,46.9085,5245.58,5971.0,MAXN,ncnn_vulkan,results/clean_v2_20260512_131735/latency/MAXN/ssd_mobilenet_v2_ncnn_vulkan.json,ok,ok,0.9672,5.9271,46487.0643
0.150697,1181.938786,,measured,474.3199,11.39,mobilenetv3_small,9.75,200,466.3456,679.5694,705.2472,2491.86,2790.0,5W,pytorch_cpu,results/clean_v2_20260512_131735/latency/5W/mobilenetv3_small_pytorch_cpu,ok,ok,132.7491,30.1394,236387.7572
0.016367,128.366957,,measured,51.1192,12.29,mobilenetv3_small,9.75,200,48.6508,58.3514,65.7213,2511.13,3033.0,5W,pytorch_cuda,results/clean_v2_20260512_131735/latency/5W/mobilenetv3_small_pytorch_cuda,ok,ok,4.5981,3.2734,25673.3913
0.003102,24.330848,,measured,9.6994,0.58,mobilenetv3_small,11.94,200,9.3465,10.8002,13.1483,2508.49,3966.0,5W,tensorrt_fp32,results/clean_v2_20260512_131735/latency/5W/mobilenetv3_small_tensorrt_fp32,ok,ok,0.7902,0.6204,4866.1696
0.004337,34.017549,,measured,13.6303,0.58,mobilenetv3_small,6.78,200,13.4992,16.9039,18.859,2495.73,3190.0,5W,tensorrt_fp16,results/clean_v2_20260512_131735/latency/5W/mobilenetv3_small_tensorrt_fp16,ok,ok,1.7563,0.8674,6803.5097
0.003202,25.111796,,measured,9.6404,0.58,mobilenetv3_small,12.24,200,9.4504,10.5988,12.1435,2604.85,4000.0,5W,tensorrt_int8,results/clean_v2_20260512_131735/latency/5W/mobilenetv3_small_tensorrt_int8,ok,ok,0.6264,0.6404,5022.3592
0.007485,58.705699,,measured,21.5987,388.56,mobilenetv3_small,9.71,200,21.144,25.5648,26.5893,2718.02,3737.0,5W,onnxrt_cuda,results/clean_v2_20260512_131735/latency/5W/mobilenetv3_small_onnxrt_cuda,ok,ok,1.7102,1.497,11741.1397
0.003646,28.595537,,measured,12.1605,990.95,mobilenetv3_small,9.71,200,11.9007,15.2515,16.5154,2351.51,3846.0,5W,onnxrt_trt,results/clean_v2_20260512_131735/latency/5W/mobilenetv3_small_onnxrt_trt,ok,ok,2.3808,0.7292,5719.1075
0.033577,263.346493,,measured,107.5125,18.99,mobilenetv3_small,11.99,200,106.5851,117.8272,130.8605,2449.45,2600.0,5W,tflite_cpu,results/clean_v2_20260512_131735/latency/5W/mobilenetv3_small_tflite_cpu,ok,ok,7.8663,6.7153,52669.2986
,,"tflite_gpu: Descriptors cannot be created directly.
If this call came from a _pb2.py file, your generated code is out of date and must be regenerated with protoc >= 3.19.0.
If you cannot immediately regenerate your protos, some other possible workarounds are:
 1. Downgrade the protobuf package to 3.20.x or lower.
 2. Set PROTOCOL_BUFFERS_PYTHON_IMPLEMENTATION=python (but this will use pure-Python parsing and will be much slower).

More information: https://developers.google.com/protocol-buffers/docs/news/2022-05-06#python-updates",error,,,mobilenetv3_small,,,,,,2287.33,2360.0,5W,tflite_gpu,results/clean_v2_20260512_131735/latency/5W/mobilenetv3_small_tflite_gpu,error,runtime_error,,,
0.007418,58.177551,,measured,21.6849,4.48,mobilenetv3_small,9.68,200,19.7256,36.3418,38.2538,2682.86,2840.0,5W,ncnn_cpu,results/clean_v2_20260512_131735/latency/5W/mobilenetv3_small_ncnn_cpu,ok,ok,5.2947,1.4835,11635.5102
0.003341,26.207048,,measured,10.6258,2.03,mobilenetv3_small,9.68,200,10.4065,11.9088,14.5962,2466.36,2997.0,5W,ncnn_vulkan,results/clean_v2_20260512_131735/latency/5W/mobilenetv3_small_ncnn_vulkan,ok,ok,0.8084,0.6683,5241.4096
0.654594,5134.072248,,measured,1870.4927,24.42,resnet50,97.7,200,1865.3313,1964.9669,2017.126,2744.77,2912.0,5W,pytorch_cpu,results/clean_v2_20260512_131735/latency/5W/resnet50_pytorch_cpu,ok,ok,64.9888,130.9188,1026814.4496
0.053673,420.964916,,measured,125.0999,125.64,resnet50,97.7,200,123.7422,130.2257,137.2161,3365.03,5212.0,5W,pytorch_cuda,results/clean_v2_20260512_131735/latency/5W/resnet50_pytorch_cuda,ok,ok,7.1082,10.7346,84192.9833
0.035403,277.668385,,measured,79.1423,0.58,resnet50,121.75,200,78.9733,79.8852,82.7897,3508.47,4657.0,5W,tensorrt_fp32,results/clean_v2_20260512_131735/latency/5W/resnet50_tensorrt_fp32,ok,ok,0.6669,7.0805,55533.6771
0.018379,144.147784,,measured,43.2436,0.58,resnet50,61.14,200,43.0576,43.8178,47.5219,3333.39,4577.0,5W,tensorrt_fp16,results/clean_v2_20260512_131735/latency/5W/resnet50_tensorrt_fp16,ok,ok,0.9147,3.6758,28829.5568
0.037287,292.447004,,measured,78.6057,0.58,resnet50,115.83,200,78.4885,79.1366,83.0182,3720.43,4665.0,5W,tensorrt_int8,results/clean_v2_20260512_131735/latency/5W/resnet50_tensorrt_int8,ok,ok,1.0352,7.4574,58489.4009
0.302646,2373.692586,,measured,645.7569,391.64,resnet50,97.41,200,645.0931,650.4729,652.9316,3675.83,4538.0,5W,onnxrt_cuda,results/clean_v2_20260512_131735/latency/5W/resnet50_onnxrt_cuda,ok,ok,1.8062,60.5292,474738.5171
0.031982,250.837257,,measured,79.2332,681.11,resnet50,97.41,200,78.8426,82.3696,83.6819,3165.81,4769.0,5W,onnxrt_trt,results/clean_v2_20260512_131735/latency/5W/resnet50_onnxrt_trt,ok,ok,1.2721,6.3964,50167.4514
