backend,cumulative_percent_ms,error,granularity,layer_name,max_ms,mean_ms,min_ms,model,percent_total_ms,rank,runtime,samples,status,std_ms
onnxruntime,99.463757,,onnx_node,FusedConv:/features/features.2/block/block.0/block.0.0/Conv_/features/features.2/block/block.0/block.0.2/Relu_kernel_time,23.945,0.574883,0.159,mobilenetv3_small,0.019716,37,onnxrt_cuda,60,ok,3.042565
onnxruntime,99.995061,,onnx_node,FusedConv:/features/features.2/block/block.0/block.0.0/Conv_/features/features.2/block/block.0/block.0.2/Relu_fence_after,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,162,onnxrt_cuda,1,ok,0.0
onnxruntime,99.995096,,onnx_node,FusedConv:/features/features.2/block/block.1/block.1.0/Conv_/features/features.2/block/block.1/block.1.2/Relu_fence_before,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,163,onnxrt_cuda,13,ok,0.0
onnxruntime,98.9986,,onnx_node,FusedConv:/features/features.2/block/block.1/block.1.0/Conv_/features/features.2/block/block.1/block.1.2/Relu_kernel_time,106.633,1.90005,0.117,mobilenetv3_small,0.065165,15,onnxrt_cuda,60,ok,13.635076
onnxruntime,99.994161,,onnx_node,FusedConv:/features/features.2/block/block.1/block.1.0/Conv_/features/features.2/block/block.1/block.1.2/Relu_fence_after,0.002,0.0015,0.001,mobilenetv3_small,5.1e-05,138,onnxrt_cuda,2,ok,0.0005
onnxruntime,99.99513,,onnx_node,Conv:/features/features.2/block/block.2/block.2.0/Conv_fence_before,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,164,onnxrt_cuda,12,ok,0.0
onnxruntime,99.424307,,onnx_node,Conv:/features/features.2/block/block.2/block.2.0/Conv_kernel_time,25.524,0.575417,0.143,mobilenetv3_small,0.019735,35,onnxrt_cuda,60,ok,3.248059
onnxruntime,99.995164,,onnx_node,Conv:/features/features.2/block/block.2/block.2.0/Conv_fence_after,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,165,onnxrt_cuda,1,ok,0.0
onnxruntime,99.994683,,onnx_node,FusedConv:/features/features.3/block/block.0/block.0.0/Conv_/features/features.3/block/block.0/block.0.2/Relu_fence_before,0.002,0.001037,0.001,mobilenetv3_small,3.6e-05,151,onnxrt_cuda,27,ok,0.000189
onnxruntime,99.263657,,onnx_node,FusedConv:/features/features.3/block/block.0/block.0.0/Conv_/features/features.3/block/block.0/block.0.2/Relu_kernel_time,27.015,0.598583,0.136,mobilenetv3_small,0.020529,27,onnxrt_cuda,60,ok,3.439172
onnxruntime,99.995198,,onnx_node,FusedConv:/features/features.3/block/block.1/block.1.0/Conv_/features/features.3/block/block.1/block.1.2/Relu_fence_before,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,166,onnxrt_cuda,3,ok,0.0
onnxruntime,98.732663,,onnx_node,FusedConv:/features/features.3/block/block.1/block.1.0/Conv_/features/features.3/block/block.1/block.1.2/Relu_kernel_time,122.923,2.1678,0.113,mobilenetv3_small,0.074348,11,onnxrt_cuda,60,ok,15.720995
onnxruntime,99.995233,,onnx_node,FusedConv:/features/features.3/block/block.1/block.1.0/Conv_/features/features.3/block/block.1/block.1.2/Relu_fence_after,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,167,onnxrt_cuda,1,ok,0.0
onnxruntime,99.995267,,onnx_node,Conv:/features/features.3/block/block.2/block.2.0/Conv_fence_before,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,168,onnxrt_cuda,1,ok,0.0
onnxruntime,99.34458,,onnx_node,Conv:/features/features.3/block/block.2/block.2.0/Conv_kernel_time,26.226,0.586367,0.14,mobilenetv3_small,0.02011,31,onnxrt_cuda,60,ok,3.338034
onnxruntime,99.995301,,onnx_node,Conv:/features/features.3/block/block.2/block.2.0/Conv_fence_after,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,169,onnxrt_cuda,1,ok,0.0
onnxruntime,99.995336,,onnx_node,Add:/features/features.3/Add_fence_before,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,170,onnxrt_cuda,31,ok,0.0
onnxruntime,99.870809,,onnx_node,Add:/features/features.3/Add_kernel_time,0.197,0.069467,0.061,mobilenetv3_small,0.002382,73,onnxrt_cuda,60,ok,0.018317
onnxruntime,99.99537,,onnx_node,Add:/features/features.3/Add_fence_after,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,171,onnxrt_cuda,1,ok,0.0
onnxruntime,99.139584,,onnx_node,Conv:/features/features.4/block/block.0/block.0.0/Conv_kernel_time,27.732,0.608483,0.141,mobilenetv3_small,0.020869,21,onnxrt_cuda,60,ok,3.531188
onnxruntime,99.995404,,onnx_node,Conv:/features/features.4/block/block.0/block.0.0/Conv_fence_after,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,172,onnxrt_cuda,1,ok,0.0
onnxruntime,99.995439,,onnx_node,HardSigmoid:/features/features.4/block/block.0/block.0.2/HardSigmoid_fence_before,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,173,onnxrt_cuda,9,ok,0.0
onnxruntime,99.88454,,onnx_node,HardSigmoid:/features/features.4/block/block.0/block.0.2/HardSigmoid_kernel_time,0.142,0.066433,0.057,mobilenetv3_small,0.002278,79,onnxrt_cuda,60,ok,0.016974
onnxruntime,99.995473,,onnx_node,HardSigmoid:/features/features.4/block/block.0/block.0.2/HardSigmoid_fence_after,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,174,onnxrt_cuda,3,ok,0.0
onnxruntime,99.99442,,onnx_node,Mul:/features/features.4/block/block.0/block.0.2/Mul_fence_before,0.002,0.001143,0.001,mobilenetv3_small,3.9e-05,144,onnxrt_cuda,7,ok,0.00035
onnxruntime,99.92846,,onnx_node,Mul:/features/features.4/block/block.0/block.0.2/Mul_kernel_time,0.151,0.0631,0.055,mobilenetv3_small,0.002164,99,onnxrt_cuda,60,ok,0.014211
onnxruntime,99.995507,,onnx_node,Mul:/features/features.4/block/block.0/block.0.2/Mul_fence_after,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,175,onnxrt_cuda,1,ok,0.0
onnxruntime,99.995541,,onnx_node,Conv:/features/features.4/block/block.1/block.1.0/Conv_fence_before,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,176,onnxrt_cuda,12,ok,0.0
onnxruntime,99.033422,,onnx_node,Conv:/features/features.4/block/block.1/block.1.0/Conv_kernel_time,52.103,1.015333,0.134,mobilenetv3_small,0.034822,16,onnxrt_cuda,60,ok,6.651068
onnxruntime,99.995576,,onnx_node,Conv:/features/features.4/block/block.1/block.1.0/Conv_fence_after,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,177,onnxrt_cuda,1,ok,0.0
onnxruntime,99.994381,,onnx_node,HardSigmoid:/features/features.4/block/block.1/block.1.2/HardSigmoid_fence_before,0.002,0.001167,0.001,mobilenetv3_small,4e-05,143,onnxrt_cuda,6,ok,0.000373
onnxruntime,99.947708,,onnx_node,HardSigmoid:/features/features.4/block/block.1/block.1.2/HardSigmoid_kernel_time,0.189,0.061517,0.051,mobilenetv3_small,0.00211,108,onnxrt_cuda,60,ok,0.018602
onnxruntime,99.99561,,onnx_node,Mul:/features/features.4/block/block.1/block.1.2/Mul_fence_before,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,178,onnxrt_cuda,1,ok,0.0
onnxruntime,99.908913,,onnx_node,Mul:/features/features.4/block/block.1/block.1.2/Mul_kernel_time,0.145,0.06395,0.055,mobilenetv3_small,0.002193,90,onnxrt_cuda,60,ok,0.01283
onnxruntime,99.995644,,onnx_node,GlobalAveragePool:/features/features.4/block/block.2/avgpool/GlobalAveragePool_fence_before,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,179,onnxrt_cuda,14,ok,0.0
onnxruntime,99.841467,,onnx_node,GlobalAveragePool:/features/features.4/block/block.2/avgpool/GlobalAveragePool_kernel_time,0.16,0.0745,0.068,mobilenetv3_small,0.002555,61,onnxrt_cuda,60,ok,0.011655
onnxruntime,99.995679,,onnx_node,FusedConv:/features/features.4/block/block.2/fc1/Conv_/features/features.4/block/block.2/activation/Relu_fence_before,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,180,onnxrt_cuda,30,ok,0.0
onnxruntime,99.714236,,onnx_node,FusedConv:/features/features.4/block/block.2/fc1/Conv_/features/features.4/block/block.2/activation/Relu_kernel_time,23.729,0.55585,0.141,mobilenetv3_small,0.019064,50,onnxrt_cuda,60,ok,3.016915
onnxruntime,99.995713,,onnx_node,FusedConv:/features/features.4/block/block.2/fc1/Conv_/features/features.4/block/block.2/activation/Relu_fence_after,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,181,onnxrt_cuda,1,ok,0.0
onnxruntime,99.995747,,onnx_node,Conv:/features/features.4/block/block.2/fc2/Conv_fence_before,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,182,onnxrt_cuda,3,ok,0.0
onnxruntime,99.618383,,onnx_node,Conv:/features/features.4/block/block.2/fc2/Conv_kernel_time,24.24,0.560417,0.149,mobilenetv3_small,0.01922,45,onnxrt_cuda,60,ok,3.08283
onnxruntime,99.994498,,onnx_node,HardSigmoid:/features/features.4/block/block.2/scale_activation/HardSigmoid_fence_before,0.003,0.001125,0.001,mobilenetv3_small,3.9e-05,146,onnxrt_cuda,16,ok,0.000484
onnxruntime,99.904524,,onnx_node,HardSigmoid:/features/features.4/block/block.2/scale_activation/HardSigmoid_kernel_time,0.152,0.064117,0.058,mobilenetv3_small,0.002199,88,onnxrt_cuda,60,ok,0.0121
onnxruntime,99.995782,,onnx_node,HardSigmoid:/features/features.4/block/block.2/scale_activation/HardSigmoid_fence_after,0.001,0.001,0.001,mobilenetv3_small,3.4e-05,183,onnxrt_cuda,1,ok,0.0
