model,runtime,group_index,group_key,group_label,group_type,mean_ms,power_gpu_mw,power_total_mw,ops,input_shape,output_shape,param_count
mobilenetv3s,onnxrt_cpu,41,features/features.6/block/block.3/block.3.0,"41. features.6/block/block.3/block.3.0 [conv]
params 0",conv,0.5709,0.0,0.0,1,,,0.0
mobilenetv3s,onnxrt_cpu,42,features/features.7/block/block.0/block.0.0,"42. features.7/block/block.0/block.0.0 [conv]
params 0",conv,0.4128,0.0,0.0,1,,,0.0
mobilenetv3s,onnxrt_cpu,43,features/features.7/block/block.0/block.0.2,"43. features.7/block/block.0/block.0.2 [act-eltwise]
params 0",act-eltwise,0.192,0.0,0.0,3,,,0.0
mobilenetv3s,onnxrt_cpu,44,features/features.7/block/block.1/block.1.0,"44. features.7/block/block.1/block.1.0 [conv]
params 0",conv,2.0921,0.0,0.0,1,,,0.0
mobilenetv3s,onnxrt_cpu,45,features/features.7/block/block.1/block.1.2,"45. features.7/block/block.1/block.1.2 [act-eltwise]
params 0",act-eltwise,0.17049999999999998,0.0,0.0,3,,,0.0
mobilenetv3s,onnxrt_cpu,46,features/features.7/block/block.2/avgpool,"46. features.7/block/block.2/avgpool [pool]
params 0",pool,0.0805,0.0,0.0,1,,,0.0
mobilenetv3s,onnxrt_cpu,47,features/features.7/block/block.2/fc1,"47. features.7/block/block.2/fc1 [conv]
params 0",conv,0.0886,0.0,0.0,1,,,0.0
mobilenetv3s,onnxrt_cpu,48,features/features.7/block/block.2/fc2,"48. features.7/block/block.2/fc2 [conv]
params 0",conv,0.0697,0.0,0.0,2,,,0.0
mobilenetv3s,onnxrt_cpu,49,features/features.7/block/block.2,"49. features.7/block/block.2 [eltwise]
params 0",eltwise,0.0893,0.0,0.0,2,,,0.0
mobilenetv3s,onnxrt_cpu,50,features/features.7/block/block.3/block.3.0,"50. features.7/block/block.3/block.3.0 [conv]
params 0",conv,0.3474,0.0,0.0,1,,,0.0
mobilenetv3s,onnxrt_cpu,51,features/features.8/block/block.0/block.0.0,"51. features.8/block/block.0/block.0.0 [conv]
params 0",conv,0.4019,0.0,0.0,1,,,0.0
mobilenetv3s,onnxrt_cpu,52,features/features.8/block/block.0/block.0.2,"52. features.8/block/block.0/block.0.2 [act-eltwise]
params 0",act-eltwise,0.1951,0.0,0.0,3,,,0.0
mobilenetv3s,onnxrt_cpu,53,features/features.8/block/block.1/block.1.0,"53. features.8/block/block.1/block.1.0 [conv]
params 0",conv,2.5173,0.0,0.0,1,,,0.0
mobilenetv3s,onnxrt_cpu,54,features/features.8/block/block.1/block.1.2,"54. features.8/block/block.1/block.1.2 [act-eltwise]
params 0",act-eltwise,0.192,0.0,0.0,3,,,0.0
mobilenetv3s,onnxrt_cpu,55,features/features.8/block/block.2/avgpool,"55. features.8/block/block.2/avgpool [pool]
params 0",pool,0.0806,0.0,0.0,1,,,0.0
mobilenetv3s,onnxrt_cpu,56,features/features.8/block/block.2/fc1,"56. features.8/block/block.2/fc1 [conv]
params 0",conv,0.0853,0.0,0.0,1,,,0.0
