layer_index,layer_name,type,module_repr,input_shape,output_shape,param_count,trainable_param_count,in_channels,out_channels,kernel_size,stride,padding,dilation,groups,bias,calls,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,power_gpu_mw,power_total_mw,timestamp
127,features.11.block.2.avgpool,AdaptiveAvgPool2d,AdaptiveAvgPool2d(output_size=1),1x576x7x7,1x576x1x1,0,0,,,,,,,,False,100,0.293994,0.026593,0.268338,0.406102,0.28524,0.347124,0,0,1777375198.9291725
128,features.11.block.2.fc1,Conv2d,"Conv2d(576, 144, kernel_size=(1, 1), stride=(1, 1))",1x576x1x1,1x144x1x1,83088,83088,576,144,1x1,1x1,0x0,1x1,1,True,100,0.684584,0.049502,0.628659,0.883663,0.668112,0.782163,0,0,1777375198.9299374
129,features.11.block.2.activation,ReLU,ReLU(),1x144x1x1,1x144x1x1,0,0,,,,,,,,False,100,0.263776,0.02028,0.245369,0.348184,0.253964,0.312902,0,0,1777375198.9303334
130,features.11.block.2.fc2,Conv2d,"Conv2d(144, 576, kernel_size=(1, 1), stride=(1, 1))",1x144x1x1,1x576x1x1,83520,83520,144,576,1x1,1x1,0x0,1x1,1,True,100,0.64418,0.04144,0.59423,0.790224,0.624596,0.716134,0,0,1777375198.9310765
131,features.11.block.2.scale_activation,Hardsigmoid,Hardsigmoid(),1x576x1x1,1x576x1x1,0,0,,,,,,,,False,100,0.252498,0.017239,0.237765,0.345736,0.246125,0.273995,0,0,1777375198.9314551
132,features.11.block.3.0,Conv2d,"Conv2d(576, 96, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x576x7x7,1x96x7x7,55296,55296,576,96,1x1,1x1,0x0,1x1,1,False,100,0.527311,0.041081,0.485687,0.801891,0.51514,0.579682,0,0,1777375198.932324
133,features.11.block.3.1,BatchNorm2d,"BatchNorm2d(96, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x96x7x7,1x96x7x7,192,192,,,,,,,,True,100,0.396039,0.020809,0.366674,0.45152,0.389019,0.439619,0,0,1777375198.93282
134,features.12.0,Conv2d,"Conv2d(96, 576, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x96x7x7,1x576x7x7,55296,55296,96,576,1x1,1x1,0x0,1x1,1,False,100,0.534192,0.031068,0.497875,0.648241,0.520713,0.589751,0,0,1777375198.9336338
135,features.12.1,BatchNorm2d,"BatchNorm2d(576, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x576x7x7,1x576x7x7,1152,1152,,,,,,,,True,100,0.385008,0.037361,0.360945,0.707566,0.374539,0.423136,0,0,1777375198.9341109
136,features.12.2,Hardswish,Hardswish(),1x576x7x7,1x576x7x7,0,0,,,,,,,,False,100,0.237137,0.015846,0.22188,0.31808,0.229119,0.260073,0,0,1777375198.9344678
137,avgpool,AdaptiveAvgPool2d,AdaptiveAvgPool2d(output_size=1),1x576x7x7,1x576x1x1,0,0,,,,,,,,False,100,0.289096,0.018604,0.270266,0.371726,0.282506,0.321371,0,0,1777375198.934892
138,classifier.0,Linear,"Linear(in_features=576, out_features=1024, bias=True)",1x576,1x1024,590848,590848,,,,,,,,True,100,0.6016,0.022525,0.558553,0.717982,0.598397,0.642411,0,0,1777375198.935706
139,classifier.1,Hardswish,Hardswish(),1x1024,1x1024,0,0,,,,,,,,False,100,0.239823,0.017148,0.224952,0.318443,0.232348,0.268828,0,0,1777375198.936133
140,classifier.2,Dropout,"Dropout(p=0.2, inplace=True)",1x1024,1x1024,0,0,,,,,,,,False,100,0.144522,0.019669,0.133648,0.25787,0.140341,0.157217,0,0,1777375198.9363835
141,classifier.3,Linear,"Linear(in_features=1024, out_features=1000, bias=True)",1x1024,1x1000,1025000,1025000,,,,,,,,True,100,0.629332,0.030208,0.590012,0.779547,0.621549,0.685665,0,0,1777375198.9370909
