layer_index,layer_name,type,module_repr,input_shape,output_shape,param_count,trainable_param_count,in_channels,out_channels,kernel_size,stride,padding,dilation,groups,bias,calls,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,power_gpu_mw,power_total_mw,timestamp
81,features.4.1.block.0.0,Conv2d,"Conv2d(80, 480, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x80x14x14,1x480x14x14,38400,38400,80,480,1x1,1x1,0x0,1x1,1,False,100,0.728783,0.02954,0.687776,0.808508,0.718609,0.77072,0,0,1777375489.686614
82,features.4.1.block.0.1,BatchNorm2d,"BatchNorm2d(480, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x480x14x14,1x480x14x14,960,960,,,,,,,,True,100,0.394795,0.036943,0.360477,0.497771,0.374045,0.481369,0,0,1777375489.687167
83,features.4.1.block.0.2,SiLU,SiLU(inplace=True),1x480x14x14,1x480x14x14,0,0,,,,,,,,False,100,0.242768,0.024387,0.217921,0.332612,0.2305,0.28084,0,0,1777375489.6875794
84,features.4.1.block.1.0,Conv2d,"Conv2d(480, 480, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=480, bias=False)",1x480x14x14,1x480x14x14,4320,4320,480,480,3x3,1x1,1x1,1x1,480,False,100,0.591907,0.019254,0.574179,0.691838,0.5878,0.642619,0,0,1777375489.6884027
85,features.4.1.block.1.1,BatchNorm2d,"BatchNorm2d(480, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x480x14x14,1x480x14x14,960,960,,,,,,,,True,100,0.383742,0.027271,0.35157,0.463499,0.371363,0.435041,0,0,1777375489.6889563
86,features.4.1.block.1.2,SiLU,SiLU(inplace=True),1x480x14x14,1x480x14x14,0,0,,,,,,,,False,100,0.23805,0.033054,0.211411,0.428863,0.222114,0.294965,0,0,1777375489.689351
87,features.4.1.block.2.avgpool,AdaptiveAvgPool2d,AdaptiveAvgPool2d(output_size=1),1x480x14x14,1x480x1x1,0,0,,,,,,,,False,100,0.295841,0.028845,0.263547,0.426989,0.283704,0.350896,0,0,1777375489.6898422
88,features.4.1.block.2.fc1,Conv2d,"Conv2d(480, 20, kernel_size=(1, 1), stride=(1, 1))",1x480x1x1,1x20x1x1,9620,9620,480,20,1x1,1x1,0x0,1x1,1,True,100,0.676447,0.063711,0.604909,0.84304,0.642306,0.780422,0,0,1777375489.6907454
89,features.4.1.block.2.activation,SiLU,SiLU(inplace=True),1x20x1x1,1x20x1x1,0,0,,,,,,,,False,100,0.243816,0.055839,0.210317,0.672358,0.22089,0.316044,0,0,1777375489.6911516
90,features.4.1.block.2.fc2,Conv2d,"Conv2d(20, 480, kernel_size=(1, 1), stride=(1, 1))",1x20x1x1,1x480x1x1,10080,10080,20,480,1x1,1x1,0x0,1x1,1,True,100,0.649846,0.076065,0.566158,1.00148,0.620248,0.784343,0,0,1777375489.6920707
91,features.4.1.block.2.scale_activation,Sigmoid,Sigmoid(),1x480x1x1,1x480x1x1,0,0,,,,,,,,False,100,0.247676,0.027356,0.221307,0.348914,0.231541,0.296999,0,0,1777375489.6924956
92,features.4.1.block.3.0,Conv2d,"Conv2d(480, 80, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x480x14x14,1x80x14x14,38400,38400,480,80,1x1,1x1,0x0,1x1,1,False,100,0.731359,0.03823,0.687307,0.950281,0.715693,0.788882,0,0,1777375489.6936536
93,features.4.1.block.3.1,BatchNorm2d,"BatchNorm2d(80, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x80x14x14,1x80x14x14,160,160,,,,,,,,True,100,0.407427,0.0435,0.367092,0.67413,0.388863,0.478599,0,0,1777375489.6942205
94,features.4.1.stochastic_depth,StochasticDepth,"StochasticDepth(p=0.07500000000000001, mode=row)",1x80x14x14,1x80x14x14,0,0,,,,,,,,False,100,0.138129,0.010447,0.131617,0.211358,0.136435,0.142196,0,0,1777375489.694527
95,features.4.2.block.0.0,Conv2d,"Conv2d(80, 480, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x80x14x14,1x480x14x14,38400,38400,80,480,1x1,1x1,0x0,1x1,1,False,100,0.740715,0.036263,0.689495,0.847623,0.726943,0.817442,0,0,1777375489.6956782
96,features.4.2.block.0.1,BatchNorm2d,"BatchNorm2d(480, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x480x14x14,1x480x14x14,960,960,,,,,,,,True,100,0.397077,0.028915,0.3623,0.495063,0.384331,0.444723,0,0,1777375489.696308
97,features.4.2.block.0.2,SiLU,SiLU(inplace=True),1x480x14x14,1x480x14x14,0,0,,,,,,,,False,100,0.244028,0.028417,0.217088,0.34157,0.22951,0.313353,0,0,1777375489.6967041
98,features.4.2.block.1.0,Conv2d,"Conv2d(480, 480, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=480, bias=False)",1x480x14x14,1x480x14x14,4320,4320,480,480,3x3,1x1,1x1,1x1,480,False,100,0.600064,0.091675,0.572043,1.497377,0.587617,0.64497,0,0,1777375489.6974268
99,features.4.2.block.1.1,BatchNorm2d,"BatchNorm2d(480, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x480x14x14,1x480x14x14,960,960,,,,,,,,True,100,0.386769,0.037576,0.351258,0.627566,0.373445,0.443978,0,0,1777375489.6979558
