layer_name,layer_type,params,input_shape,output_shape,mean_ms,std_ms,min_ms,max_ms
features.10.block.0.2,Hardswish,0,"[1, 576, 7, 7]","[1, 576, 7, 7]",0.2676,0.0197,0.2505,0.3212
features.10.block.1.0,Conv2d,14400,"[1, 576, 7, 7]","[1, 576, 7, 7]",0.5093,0.0197,0.4935,0.5732
features.10.block.1.1,BatchNorm2d,1152,"[1, 576, 7, 7]","[1, 576, 7, 7]",0.3999,0.0373,0.3751,0.5145
features.10.block.1.2,Hardswish,0,"[1, 576, 7, 7]","[1, 576, 7, 7]",0.262,0.0228,0.2455,0.3275
features.10.block.2.avgpool,AdaptiveAvgPool2d,0,"[1, 576, 7, 7]","[1, 576, 1, 1]",0.3384,0.0253,0.3187,0.4067
features.10.block.2.fc1,Conv2d,83088,"[1, 576, 1, 1]","[1, 144, 1, 1]",0.7655,0.1419,0.6876,1.2899
features.10.block.2.fc2,Conv2d,83520,"[1, 144, 1, 1]","[1, 576, 1, 1]",0.7341,0.0673,0.6777,0.9298
features.10.block.2.activation,ReLU,0,"[1, 144, 1, 1]","[1, 144, 1, 1]",0.3127,0.0363,0.2845,0.4134
features.10.block.2.scale_activation,Hardsigmoid,0,"[1, 576, 1, 1]","[1, 576, 1, 1]",0.291,0.0221,0.2756,0.3583
features.10.block.3.0,Conv2d,55296,"[1, 576, 7, 7]","[1, 96, 7, 7]",0.7843,0.079,0.7144,1.0236
features.10.block.3.1,BatchNorm2d,192,"[1, 96, 7, 7]","[1, 96, 7, 7]",0.4076,0.0325,0.3826,0.5024
features.11.block.0.0,Conv2d,55296,"[1, 96, 7, 7]","[1, 576, 7, 7]",0.7795,0.051,0.7366,0.9271
features.11.block.0.1,BatchNorm2d,1152,"[1, 576, 7, 7]","[1, 576, 7, 7]",0.3854,0.0184,0.37,0.4314
features.11.block.0.2,Hardswish,0,"[1, 576, 7, 7]","[1, 576, 7, 7]",0.2667,0.0232,0.2497,0.3349
features.11.block.1.0,Conv2d,14400,"[1, 576, 7, 7]","[1, 576, 7, 7]",0.5097,0.0177,0.4951,0.5663
features.11.block.1.1,BatchNorm2d,1152,"[1, 576, 7, 7]","[1, 576, 7, 7]",0.4023,0.0328,0.3761,0.5037
features.11.block.1.2,Hardswish,0,"[1, 576, 7, 7]","[1, 576, 7, 7]",0.2638,0.0275,0.2477,0.3507
features.11.block.2.avgpool,AdaptiveAvgPool2d,0,"[1, 576, 7, 7]","[1, 576, 1, 1]",0.3416,0.0276,0.3152,0.4039
features.11.block.2.fc1,Conv2d,83088,"[1, 576, 1, 1]","[1, 144, 1, 1]",0.7479,0.0636,0.6924,0.9277
features.11.block.2.fc2,Conv2d,83520,"[1, 144, 1, 1]","[1, 576, 1, 1]",0.7153,0.0374,0.6743,0.7987
features.11.block.2.activation,ReLU,0,"[1, 144, 1, 1]","[1, 144, 1, 1]",0.2979,0.0181,0.2826,0.352
features.11.block.2.scale_activation,Hardsigmoid,0,"[1, 576, 1, 1]","[1, 576, 1, 1]",0.2873,0.0234,0.2731,0.3848
features.11.block.3.0,Conv2d,55296,"[1, 576, 7, 7]","[1, 96, 7, 7]",0.7442,0.0384,0.7102,0.8526
features.11.block.3.1,BatchNorm2d,192,"[1, 96, 7, 7]","[1, 96, 7, 7]",0.4044,0.0236,0.3785,0.4504
features.12.0,Conv2d,55296,"[1, 96, 7, 7]","[1, 576, 7, 7]",0.738,0.0322,0.7,0.8411
features.12.1,BatchNorm2d,1152,"[1, 576, 7, 7]","[1, 576, 7, 7]",0.3901,0.0182,0.3725,0.4415
features.12.2,Hardswish,0,"[1, 576, 7, 7]","[1, 576, 7, 7]",0.2622,0.0101,0.2521,0.2843
avgpool,AdaptiveAvgPool2d,0,"[1, 576, 7, 7]","[1, 576, 1, 1]",0.3337,0.0175,0.3159,0.3864
classifier.0,Linear,590848,"[1, 576]","[1, 1024]",0.7111,0.0151,0.698,0.7486
classifier.1,Hardswish,0,"[1, 1024]","[1, 1024]",0.2582,0.016,0.248,0.315
classifier.2,Dropout,0,"[1, 1024]","[1, 1024]",0.1494,0.0056,0.1439,0.1716
classifier.3,Linear,1025000,"[1, 1024]","[1, 1000]",0.6559,0.0282,0.6304,0.7518
