layer_index,layer_name,type,module_repr,input_shape,output_shape,param_count,trainable_param_count,in_channels,out_channels,kernel_size,stride,padding,dilation,groups,bias,calls,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,power_gpu_mw,power_total_mw,timestamp
124,stage4.1.branch2.0,Conv2d,"Conv2d(232, 232, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x232x7x7,1x232x7x7,53824,53824,232,232,1x1,1x1,0x0,1x1,1,False,100,0.549735,0.051674,0.492875,0.759808,0.522173,0.625034,0,0,1777375764.3192205
125,stage4.1.branch2.1,BatchNorm2d,"BatchNorm2d(232, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x232x7x7,1x232x7x7,464,464,,,,,,,,True,100,0.395181,0.028798,0.363758,0.515584,0.380763,0.443733,0,0,1777375764.3197007
126,stage4.1.branch2.2,ReLU,ReLU(inplace=True),1x232x7x7,1x232x7x7,0,0,,,,,,,,False,100,0.248736,0.024306,0.222713,0.315684,0.231932,0.279962,0,0,1777375764.3201041
127,stage4.1.branch2.3,Conv2d,"Conv2d(232, 232, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=232, bias=False)",1x232x7x7,1x232x7x7,2088,2088,232,232,3x3,1x1,1x1,1x1,232,False,100,0.314375,0.026811,0.283235,0.3873,0.299538,0.364589,0,0,1777375764.3205137
128,stage4.1.branch2.4,BatchNorm2d,"BatchNorm2d(232, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x232x7x7,1x232x7x7,464,464,,,,,,,,True,100,0.382185,0.029997,0.345163,0.469228,0.365216,0.436637,0,0,1777375764.3210015
129,stage4.1.branch2.5,Conv2d,"Conv2d(232, 232, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x232x7x7,1x232x7x7,53824,53824,232,232,1x1,1x1,0x0,1x1,1,False,100,0.529865,0.052887,0.469854,0.746838,0.507667,0.613615,0,0,1777375764.3216093
130,stage4.1.branch2.6,BatchNorm2d,"BatchNorm2d(232, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x232x7x7,1x232x7x7,464,464,,,,,,,,True,100,0.386356,0.03568,0.350841,0.60069,0.371283,0.441178,0,0,1777375764.3221016
131,stage4.1.branch2.7,ReLU,ReLU(inplace=True),1x232x7x7,1x232x7x7,0,0,,,,,,,,False,100,0.244812,0.024547,0.218858,0.317455,0.230734,0.286202,0,0,1777375764.3224525
132,stage4.2.branch2.0,Conv2d,"Conv2d(232, 232, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x232x7x7,1x232x7x7,53824,53824,232,232,1x1,1x1,0x0,1x1,1,False,100,0.540993,0.05082,0.484333,0.662566,0.511235,0.621284,0,0,1777375764.3236198
133,stage4.2.branch2.1,BatchNorm2d,"BatchNorm2d(232, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x232x7x7,1x232x7x7,464,464,,,,,,,,True,100,0.395071,0.035152,0.360007,0.601575,0.38881,0.446315,0,0,1777375764.324141
134,stage4.2.branch2.2,ReLU,ReLU(inplace=True),1x232x7x7,1x232x7x7,0,0,,,,,,,,False,100,0.248061,0.026271,0.222088,0.348497,0.231983,0.283899,0,0,1777375764.3245018
135,stage4.2.branch2.3,Conv2d,"Conv2d(232, 232, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=232, bias=False)",1x232x7x7,1x232x7x7,2088,2088,232,232,3x3,1x1,1x1,1x1,232,False,100,0.313491,0.028221,0.281933,0.419019,0.297558,0.355914,0,0,1777375764.3248994
136,stage4.2.branch2.4,BatchNorm2d,"BatchNorm2d(232, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x232x7x7,1x232x7x7,464,464,,,,,,,,True,100,0.383648,0.06741,0.345736,0.976271,0.359825,0.439679,0,0,1777375764.3253796
137,stage4.2.branch2.5,Conv2d,"Conv2d(232, 232, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x232x7x7,1x232x7x7,53824,53824,232,232,1x1,1x1,0x0,1x1,1,False,100,0.525546,0.050031,0.468968,0.663972,0.512355,0.609358,0,0,1777375764.325978
138,stage4.2.branch2.6,BatchNorm2d,"BatchNorm2d(232, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x232x7x7,1x232x7x7,464,464,,,,,,,,True,100,0.381591,0.030175,0.347612,0.52699,0.366882,0.430887,0,0,1777375764.3264654
139,stage4.2.branch2.7,ReLU,ReLU(inplace=True),1x232x7x7,1x232x7x7,0,0,,,,,,,,False,100,0.243912,0.029862,0.219067,0.372091,0.226645,0.291678,0,0,1777375764.3268144
140,stage4.3.branch2.0,Conv2d,"Conv2d(232, 232, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x232x7x7,1x232x7x7,53824,53824,232,232,1x1,1x1,0x0,1x1,1,False,100,0.541775,0.04891,0.479854,0.653191,0.524985,0.62075,0,0,1777375764.3280227
141,stage4.3.branch2.1,BatchNorm2d,"BatchNorm2d(232, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x232x7x7,1x232x7x7,464,464,,,,,,,,True,100,0.389091,0.026439,0.358602,0.456364,0.375789,0.429064,0,0,1777375764.3285089
142,stage4.3.branch2.2,ReLU,ReLU(inplace=True),1x232x7x7,1x232x7x7,0,0,,,,,,,,False,100,0.246911,0.02458,0.220057,0.31032,0.231125,0.282179,0,0,1777375764.3288615
143,stage4.3.branch2.3,Conv2d,"Conv2d(232, 232, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=232, bias=False)",1x232x7x7,1x232x7x7,2088,2088,232,232,3x3,1x1,1x1,1x1,232,False,100,0.312345,0.027357,0.282819,0.420895,0.297142,0.35394,0,0,1777375764.3292627
144,stage4.3.branch2.4,BatchNorm2d,"BatchNorm2d(232, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x232x7x7,1x232x7x7,464,464,,,,,,,,True,100,0.371901,0.024871,0.345216,0.443447,0.356675,0.407389,0,0,1777375764.3297434
145,stage4.3.branch2.5,Conv2d,"Conv2d(232, 232, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x232x7x7,1x232x7x7,53824,53824,232,232,1x1,1x1,0x0,1x1,1,False,100,0.52081,0.048163,0.469854,0.668817,0.493631,0.59926,0,0,1777375764.3303523
146,stage4.3.branch2.6,BatchNorm2d,"BatchNorm2d(232, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x232x7x7,1x232x7x7,464,464,,,,,,,,True,100,0.37748,0.036351,0.346518,0.624753,0.358731,0.413854,0,0,1777375764.3308382
147,stage4.3.branch2.7,ReLU,ReLU(inplace=True),1x232x7x7,1x232x7x7,0,0,,,,,,,,False,100,0.241477,0.023814,0.217036,0.305371,0.225942,0.273836,0,0,1777375764.3311832
148,conv5.0,Conv2d,"Conv2d(464, 1024, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x464x7x7,1x1024x7x7,475136,475136,464,1024,1x1,1x1,0x0,1x1,1,False,100,1.26927,0.034795,1.225755,1.372477,1.256641,1.329301,0,0,1777375764.3331177
149,conv5.1,BatchNorm2d,"BatchNorm2d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1x1024x7x7,1x1024x7x7,2048,2048,,,,,,,,True,100,0.39795,0.032641,0.36558,0.524282,0.382612,0.436116,0,0,1777375764.3336284
150,conv5.2,ReLU,ReLU(inplace=True),1x1024x7x7,1x1024x7x7,0,0,,,,,,,,False,100,0.261715,0.048064,0.223339,0.526939,0.236307,0.340769,0,0,1777375764.3339937
151,fc,Linear,"Linear(in_features=1024, out_features=1000, bias=True)",1x1024,1x1000,1025000,1025000,,,,,,,,True,100,0.673292,0.034871,0.624961,0.788455,0.656655,0.723034,0,0,1777375764.3349833
