model,runtime,power_mode,num_runs,latency_mean_ms,power_mean_mw,energy_per_inference_mj,total_energy_mj,co2_per_inference_mg,total_co2_mg
shufflenet_v2_x1_0,tflite_cpu,10w,100,19.76,4218.14,83.3322,8333.22,10.624851,1062.4851
shufflenet_v2_x1_0,tflite_cpu,5w,100,3121.6,2196.71,6857.2535,685725.35,874.299824,87429.9824
shufflenet_v2_x1_0,tflite_gpu,10w,100,0,2350.62,0,0,0,0
shufflenet_v2_x1_0,tflite_gpu,5w,100,0,2078.79,0,0,0,0
ssd_mobilenet_v2,ncnn_cpu,10w,100,84.99,5780.4,491.2571,49125.71,62.635282,6263.5282
ssd_mobilenet_v2,ncnn_cpu,5w,100,193.03,2941.3,567.7566,56775.66,72.388966,7238.8966
ssd_mobilenet_v2,ncnn_vulkan,10w,100,85.06,5458.95,464.3468,46434.68,59.204215,5920.4215
ssd_mobilenet_v2,ncnn_vulkan,5w,100,191.35,2969.41,568.1989,56819.89,72.445366,7244.5366
ssd_mobilenet_v2,pytorch_cpu,10w,100,1266.68,4907.69,6216.4684,621646.84,792.599721,79259.9721
ssd_mobilenet_v2,pytorch_cpu,5w,100,1896.95,2524.39,4788.6402,478864.02,610.551626,61055.1626
ssd_mobilenet_v2,pytorch_cuda,10w,100,56.38,3796.32,214.0378,21403.78,27.289823,2728.9823
ssd_mobilenet_v2,pytorch_cuda,5w,100,82.82,2625.93,217.4677,21746.77,27.727137,2772.7137
ssd_mobilenet_v2,tensorrt_fp16,10w,100,23.58,3635.39,85.7083,8570.83,10.927812,1092.7812
ssd_mobilenet_v2,tensorrt_fp16,5w,100,32.81,2961.24,97.1518,9715.18,12.386855,1238.6855
ssd_mobilenet_v2,tensorrt_fp32,10w,100,25.8,3208.98,82.7997,8279.97,10.556967,1055.6967
ssd_mobilenet_v2,tensorrt_fp32,5w,100,36.18,2444.96,88.4576,8845.76,11.278343,1127.8343
ssd_mobilenet_v2,tensorrt_int8,10w,100,25.95,3609.26,93.6525,9365.25,11.940687,1194.0687
ssd_mobilenet_v2,tensorrt_int8,5w,100,36.21,3006.75,108.8701,10887.01,13.88094,1388.094
ssd_mobilenet_v2,tflite_cpu,10w,100,143.42,4825.0,692.0124,69201.24,88.231578,8823.1578
ssd_mobilenet_v2,tflite_cpu,5w,100,3563.6,2266.47,8076.7962,807679.62,1029.791512,102979.1512
ssd_mobilenet_v2,tflite_gpu,10w,100,0,2486.5,0,0,0,0
ssd_mobilenet_v2,tflite_gpu,5w,100,0,2105.08,0,0,0,0
ssd_mobilenet_v2_raw_fpinput,onnxrt_cuda,10w,100,51.67,3841.83,198.5138,19851.38,25.310506,2531.0506
ssd_mobilenet_v2_raw_fpinput,onnxrt_cuda,5w,100,70.47,2847.99,200.7086,20070.86,25.590349,2559.0349
ssd_mobilenet_v2_raw_fpinput,onnxrt_tensorrt,10w,100,26.12,3447.78,90.0632,9006.32,11.483061,1148.3061
ssd_mobilenet_v2_raw_fpinput,onnxrt_tensorrt,5w,100,36.49,2487.32,90.7663,9076.63,11.572701,1157.2701
yolov8n,ncnn_cpu,10w,100,0.08,1658.0,0.1258,12.58,0.016045,1.6045
yolov8n,ncnn_cpu,5w,100,0.12,0,0,0,0,0
yolov8n,ncnn_vulkan,10w,100,0.08,1903.33,0.1439,14.39,0.018342,1.8342
yolov8n,ncnn_vulkan,5w,100,0.12,1943.5,0.2313,23.13,0.02949,2.949
yolov8n,onnxrt_cuda,10w,100,108.74,4291.09,466.6293,46662.93,59.495231,5949.5231
yolov8n,onnxrt_cuda,5w,100,144.8,3166.87,458.5496,45854.96,58.465071,5846.5071
yolov8n,onnxrt_tensorrt,10w,100,75.32,3372.08,253.9792,25397.92,32.382348,3238.2348
yolov8n,onnxrt_tensorrt,5w,100,105.03,2498.66,262.4268,26242.68,33.459414,3345.9414
yolov8n,pytorch_cpu,10w,100,936.03,5600.37,5242.1307,524213.07,668.371658,66837.1658
yolov8n,pytorch_cpu,5w,100,2289.04,2806.93,6425.1646,642516.46,819.208492,81920.8492
yolov8n,pytorch_cuda,10w,100,88.39,4171.57,368.7257,36872.57,47.012532,4701.2532
yolov8n,pytorch_cuda,5w,100,125.62,2937.84,369.056,36905.6,47.054643,4705.4643
yolov8n,tensorrt_fp16,10w,100,53.15,4808.84,255.5971,25559.71,32.588624,3258.8624
yolov8n,tensorrt_fp16,5w,100,74.51,2878.31,214.4525,21445.25,27.342692,2734.2692
yolov8n,tensorrt_fp32,10w,100,71.33,3861.85,275.4512,27545.12,35.120024,3512.0024
yolov8n,tensorrt_fp32,5w,100,99.89,2891.44,288.825,28882.5,36.825181,3682.5181
yolov8n,tensorrt_int8,10w,100,71.1,4595.38,326.7243,32672.43,41.657345,4165.7345
yolov8n,tensorrt_int8,5w,100,99.53,3511.16,349.4701,34947.01,44.557432,4455.7432
yolov8n,tflite_cpu,10w,100,351.44,6061.85,2130.4004,213040.04,271.626049,27162.6049
yolov8n,tflite_cpu,5w,100,3127.2,2427.64,7591.7191,759171.91,967.944186,96794.4186
yolov8n,tflite_gpu,10w,100,0,2459.17,0,0,0,0
yolov8n,tflite_gpu,5w,100,0,2073.15,0,0,0,0
