layer_index,layer_name,type,module_repr,input_shape,output_shape,param_count,trainable_param_count,in_channels,out_channels,kernel_size,stride,padding,dilation,groups,bias,calls,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,power_gpu_mw,power_total_mw,timestamp
130,features.11.block.2.fc2,Conv2d,"Conv2d(144, 576, kernel_size=(1, 1), stride=(1, 1))",1x144x1x1,1x576x1x1,83520,83520,144,576,1x1,1x1,0x0,1x1,1,True,100,0.558888,0.792553,0.423966,6.628816,0.434826,0.499092,0,0,1777275167.420502
131,features.11.block.2.scale_activation,Hardsigmoid,Hardsigmoid(),1x576x1x1,1x576x1x1,0,0,,,,,,,,False,100,0.089941,0.019987,0.07995,0.208181,0.085783,0.096452,0,0,1777275167.4206629
132,features.11.block.3.0,Conv2d,"Conv2d(576, 96, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x576x7x7,1x96x7x7,55296,55296,576,96,1x1,1x1,0x0,1x1,1,False,100,2.205239,1.979849,0.838765,8.829585,0.882906,6.016328,0,0,1777275167.425188
133,features.11.block.3.1,BatchNorm2d,"BatchNorm2d(96, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x96x7x7,1x96x7x7,192,192,,,,,,,,True,100,0.613204,1.227066,0.225577,9.775798,0.243129,3.901289,0,0,1777275167.4258494
134,features.12.0,Conv2d,"Conv2d(96, 576, kernel_size=(1, 1), stride=(1, 1), bias=False)",1x96x7x7,1x576x7x7,55296,55296,96,576,1x1,1x1,0x0,1x1,1,False,100,1.414636,0.718972,0.881787,4.560655,0.909313,2.319919,0,0,1777275167.4281216
135,features.12.1,BatchNorm2d,"BatchNorm2d(576, eps=0.001, momentum=0.01, affine=True, track_running_stats=True)",1x576x7x7,1x576x7x7,1152,1152,,,,,,,,True,100,0.490718,0.546955,0.275265,4.598259,0.291098,1.726851,0,0,1777275167.428852
136,features.12.2,Hardswish,Hardswish(),1x576x7x7,1x576x7x7,0,0,,,,,,,,False,100,0.358289,0.125085,0.335527,1.585445,0.339928,0.399385,0,0,1777275167.4292517
137,avgpool,AdaptiveAvgPool2d,AdaptiveAvgPool2d(output_size=1),1x576x7x7,1x576x1x1,0,0,,,,,,,,False,100,0.356043,0.113172,0.328391,1.458307,0.338704,0.385496,0,0,1777275167.429667
138,classifier.0,Linear,"Linear(in_features=576, out_features=1024, bias=True)",1x576,1x1024,590848,590848,,,,,,,,True,100,2.728651,1.210977,1.624143,4.441434,1.80498,4.265386,0,0,1777275167.4341466
139,classifier.1,Hardswish,Hardswish(),1x1024,1x1024,0,0,,,,,,,,False,100,0.094192,0.004628,0.089064,0.137034,0.093855,0.096278,0,0,1777275167.4343035
140,classifier.2,Dropout,"Dropout(p=0.2, inplace=True)",1x1024,1x1024,0,0,,,,,,,,False,100,0.081552,0.007776,0.076147,0.14094,0.080522,0.083312,0,0,1777275167.4344249
141,classifier.3,Linear,"Linear(in_features=1024, out_features=1000, bias=True)",1x1024,1x1000,1025000,1025000,,,,,,,,True,100,7.432534,1.759397,5.591142,10.936132,6.13899,9.653952,0,0,1777275167.443883
