model,runtime,rank,layer_name,backend,granularity,mean_ms,std_ms,min_ms,max_ms,samples,percent_total_ms,cumulative_percent_ms,sequence,dashboard_source,source_file
efficientnet_b0,pytorch_cpu,11,aten::conv2d,pytorch,op,0.068216,0.03039,0.007436,0.083659,4050,0.770782,94.484404,1,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_pytorch_cpu.csv
efficientnet_b0,pytorch_cpu,14,aten::convolution,pytorch,op,0.044593,0.033132,0.007985,0.103751,4050,0.503863,96.305712,2,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_pytorch_cpu.csv
efficientnet_b0,pytorch_cpu,2,aten::_convolution,pytorch,op,1.200098,0.028629,1.166698,1.232928,4050,13.560075,49.762972,3,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_pytorch_cpu.csv
efficientnet_b0,pytorch_cpu,37,aten::thnn_conv2d,pytorch,op,0.002768,0.000199,0.002507,0.003053,451250,0.031276,99.934375,4,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_pytorch_cpu.csv
efficientnet_b0,pytorch_cpu,8,aten::_slow_conv2d_forward,pytorch,op,0.115466,0.007498,0.105577,0.1236,451250,1.304667,91.576005,5,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_pytorch_cpu.csv
efficientnet_b0,pytorch_cpu,35,aten::empty,pytorch,op,0.003662,0.00036,0.003204,0.004259,914000,0.041377,99.867472,6,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_pytorch_cpu.csv
efficientnet_b0,pytorch_cpu,33,aten::view,pytorch,op,0.004337,0.000314,0.003909,0.00473,454450,0.049004,99.78378,7,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_pytorch_cpu.csv
efficientnet_b0,pytorch_cpu,34,aten::resize_,pytorch,op,0.003745,0.00037,0.003351,0.00442,451250,0.042315,99.826095,8,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_pytorch_cpu.csv
efficientnet_b0,pytorch_cpu,16,aten::batch_norm,pytorch,op,0.034281,0.014448,0.008318,0.051151,2450,0.387346,97.087827,9,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_pytorch_cpu.csv
efficientnet_b0,pytorch_cpu,22,aten::_batch_norm_impl_index,pytorch,op,0.018371,0.000795,0.017861,0.019947,2450,0.207577,98.622115,10,clean_v2_without_tensorrt,/Users/hobongs/Desktop/HoBong_study/26-1/탄중/temp/jetson_nano_edgeai/my_results/clean_v2(without_tensorRT)/layer_runtime/efficientnet_b0_pytorch_cpu.csv
