RAM 1697/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@34.5C iwlwifi@33C PMIC@50C GPU@32C AO@43.5C thermal@33.25C POM_5V_IN 2494/2089 POM_5V_GPU 81/105 POM_5V_CPU 858/411
RAM 1700/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@34C iwlwifi@33C PMIC@50C GPU@32C AO@44C thermal@33.25C POM_5V_IN 2568/2106 POM_5V_GPU 81/104 POM_5V_CPU 896/428
RAM 1697/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@34C iwlwifi@34C PMIC@50C GPU@32.5C AO@43.5C thermal@33.75C POM_5V_IN 2531/2120 POM_5V_GPU 81/103 POM_5V_CPU 898/444
RAM 1698/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@35C iwlwifi@33C PMIC@50C GPU@32.5C AO@43.5C thermal@33.5C POM_5V_IN 2531/2133 POM_5V_GPU 81/102 POM_5V_CPU 857/457
RAM 1699/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 0%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@34.5C iwlwifi@34C PMIC@50C GPU@32C AO@43.5C thermal@33.5C POM_5V_IN 2494/2144 POM_5V_GPU 81/102 POM_5V_CPU 898/471
RAM 1701/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@34.5C iwlwifi@33C PMIC@50C GPU@32.5C AO@44C thermal@33.25C POM_5V_IN 2490/2155 POM_5V_GPU 81/101 POM_5V_CPU 857/482
RAM 1697/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32.5C CPU@34.5C iwlwifi@33C PMIC@50C GPU@32.5C AO@44C thermal@33.5C POM_5V_IN 2494/2165 POM_5V_GPU 81/100 POM_5V_CPU 858/493
RAM 1697/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32C CPU@34.5C iwlwifi@33C PMIC@50C GPU@32.5C AO@43.5C thermal@33.5C POM_5V_IN 2531/2175 POM_5V_GPU 81/100 POM_5V_CPU 856/504
RAM 1699/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32.5C CPU@35C iwlwifi@33C PMIC@50C GPU@32.5C AO@43.5C thermal@33.5C POM_5V_IN 2494/2184 POM_5V_GPU 81/99 POM_5V_CPU 899/515
RAM 1698/3964MB (lfb 4x4MB) SWAP 491/6078MB (cached 7MB) IRAM 0/252kB(lfb 252kB) CPU [100%@921,100%@921,off,off] EMC_FREQ 1%@1600 GR3D_FREQ 0%@614 APE 25 PLL@32.5C CPU@34.5C iwlwifi@33C PMIC@50C GPU@32.5C AO@44C thermal@33.75C POM_5V_IN 2535/2194 POM_5V_GPU 81/99 POM_5V_CPU 898/525
